"id","sales"
0,47
1,56
2,67
3,53
4,67
5,51
6,73
7,58
8,70
9,85
10,71
11,92
12,75
13,87
14,69
15,87
16,100
17,82
18,104
19,85
20,100
21,74
22,83
23,95
24,76
25,88
26,68
27,81
28,60
29,71
30,84
31,71
32,85
33,62
34,65
35,47
36,57
37,62
38,46
39,59
40,46
41,58
42,45
43,65
44,71
45,60
46,78
47,63
48,78
49,63
50,75
51,82
52,73
53,90
54,73
55,90
56,73
57,85
58,86
59,73
60,87
61,66
62,78
63,61
64,72
65,74
66,63
67,79
68,63
69,72
70,50
71,60
72,61
73,49
74,59
75,42
76,54
77,40
78,54
79,60
80,56
81,69
82,54
83,69
84,56
85,70
86,71
87,65
88,79
89,64
90,79
91,65
92,80
93,81
94,73
95,83
96,66
97,77
98,59
99,71
100,70
101,62
102,73
103,58
104,71
105,55
106,63
107,59
108,52
109,61
110,43
111,53
112,38
113,50
114,50
115,48
116,62
117,49
118,63
119,49
120,63
121,63
122,61
123,71
124,58
125,71
126,58
127,72
128,72
129,70
130,80
131,64
132,75
133,60
134,70
135,67
136,63
137,71
138,56
139,68
140,53
141,65
142,60
143,55
144,62
145,47
146,56
147,40
148,50
149,46
150,46
151,55
152,45
153,59
154,45
155,58
156,56
157,57
158,66
159,54
160,66
161,53
162,65
163,63
164,65
165,74
166,63
167,74
168,59
169,70
170,64
171,63
172,70
173,57
174,67
175,52
176,63
177,58
178,58
179,63
180,50
181,59
182,43
183,52
184,46
185,46
186,52
187,42
188,54
189,43
190,55
191,51
192,53
193,60
194,52
195,63
196,50
197,61
198,57
199,60
200,67
201,59
202,70
203,57
204,68
205,62
206,63
207,68
208,58
209,67
210,53
211,63
212,56
213,58
214,62
215,53
216,61
217,47
218,55
219,47
220,48
221,52
222,43
223,52
224,41
225,52
226,47
227,51
228,56
229,49
230,59
231,48
232,59
233,53
234,56
235,61
236,55
237,65
238,55
239,66
240,59
241,63
242,66
243,58
244,66
245,54
246,63
247,55
248,58
249,61
250,54
251,62
252,49
253,58
254,49
255,52
256,53
257,45
258,53
259,41
260,51
261,45
262,50
263,53
264,48
265,57
266,46
267,57
268,50
269,55
270,57
271,52
272,61
273,52
274,62
275,56
276,61
277,63
278,58
279,65
280,54
281,63
282,55
283,59
284,59
285,54
286,61
287,51
288,59
289,51
290,54
291,54
292,48
293,54
294,43
295,52
296,44
297,49
298,50
299,47
300,54
301,45
302,55
303,48
304,54
305,54
306,51
307,58
308,49
309,59
310,53
311,59
312,60
313,57
314,63
315,54
316,63
317,55
318,59
319,59
320,55
321,61
322,51
323,60
324,51
325,56
326,54
327,51
328,56
329,46
330,53
331,45
332,50
333,49
334,47
335,53
336,45
337,54
338,47
339,53
340,52
341,50
342,56
343,48
344,57
345,50
346,56
347,56
348,55
349,61
350,53
351,62
352,54
353,60
354,58
355,56
356,60
357,52
358,59
359,52
360,57
361,55
362,53
363,56
364,48
365,55
366,47
367,51
368,49
369,47
370,52
371,45
372,53
373,46
374,52
375,50
376,50
377,54
378,48
379,56
380,49
381,55
382,53
383,53
384,58
385,52
386,60
387,53
388,59
389,57
390,56
391,60
392,53
393,59
394,52
395,57
396,54
397,54
398,57
399,50
400,56
401,48
402,53
403,50
404,49
405,52
406,46
407,52
408,46
409,52
410,49
411,50
412,53
413,48
414,55
415,48
416,54
417,51
418,52
419,56
420,51
421,58
422,52
423,58
424,55
425,56
426,59
427,53
428,59
429,52
430,57
431,54
432,54
433,57
434,51
435,57
436,50
437,55
438,51
439,51
440,53
441,47
442,53
443,46
444,52
445,48
446,50
447,52
448,48
449,54
450,48
451,53
452,50
453,52
454,54
455,50
456,56
457,50
458,57
459,54
460,55
461,57
462,53
463,59
464,52
465,58
466,54
467,55
468,56
469,52
470,57
471,51
472,56
473,51
474,53
475,53
476,49
477,54
478,47
479,52
480,48
481,50
482,51
483,48
484,53
485,47
486,53
487,50
488,52
489,53
490,50
491,55
492,49
493,55
494,52
495,54
496,56
497,53
498,58
499,52
500,57
501,53
502,55
503,56
504,53
505,57
506,51
507,56
508,52
509,54
510,54
511,51
512,54
513,48
514,53
515,49
516,51
517,51
518,49
519,53
520,48
521,53
522,49
523,52
524,52
525,50
526,54
527,49
528,54
529,51
530,54
531,54
532,52
533,56
534,52
535,57
536,53
537,55
538,55
539,53
540,57
541,51
542,56
543,52
544,54
545,54
546,52
547,55
548,50
549,54
550,50
551,52
552,51
553,49
554,52
555,48
556,53
557,49
558,52
559,51
560,50
561,53
562,49
563,54
564,50
565,53
566,53
567,52
568,55
569,51
570,56
571,52
572,55
573,54
574,53
575,56
576,52
577,56
578,52
579,55
580,54
581,52
582,55
583,51
584,55
585,50
586,53
587,51
588,50
589,53
590,49
591,53
592,49
593,52
594,51
595,50
596,53
597,49
598,53
599,50
600,53
601,52
602,51
603,54
604,51
605,55
606,52
607,55
608,54
609,53
610,56
611,52
612,56
613,52
614,55
615,53
616,53
617,55
618,51
619,55
620,51
621,54
622,52
623,51
624,53
625,49
626,53
627,49
628,52
629,51
630,50
631,52
632,49
633,53
634,49
635,53
636,51
637,51
638,53
639,50
640,54
641,51
642,54
643,53
644,53
645,55
646,52
647,56
648,52
649,55
650,53
651,53
652,55
653,52
654,55
655,51
656,54
657,52
658,52
659,53
660,50
661,53
662,50
663,52
664,51
665,51
666,52
667,50
668,53
669,49
670,53
671,51
672,51
673,53
674,50
675,54
676,50
677,54
678,52
679,53
680,54
681,52
682,55
683,52
684,55
685,53
686,53
687,54
688,52
689,55
690,52
691,54
692,52
693,53
694,53
695,51
696,54
697,50
698,53
699,51
700,51
701,52
702,50
703,53
704,50
705,53
706,51
707,51
708,52
709,50
710,53
711,50
712,53
713,51
714,53
715,53
716,52
717,54
718,52
719,55
720,53
721,54
722,54
723,52
724,55
725,52
726,54
727,52
728,53
729,53
730,52
731,54
732,51
733,53
734,51
735,52
736,52
737,50
738,53
739,50
740,53
741,50
742,52
743,52
744,51
745,53
746,50
747,53
748,51
749,52
750,53
751,51
752,54
753,51
754,54
755,52
756,53
757,53
758,52
759,54
760,52
761,54
762,52
763,53
764,53
765,52
766,54
767,51
768,54
769,51
770,53
771,52
772,51
773,53
774,50
775,53
776,51
777,52
778,52
779,51
780,53
781,50
782,53
783,51
784,52
785,52
786,51
787,53
788,51
789,54
790,52
791,53
792,53
793,52
794,54
795,52
796,54
797,52
798,54
799,53
800,52
801,54
802,52
803,54
804,52
805,53
806,52
807,52
808,53
809,51
810,53
811,51
812,52
813,52
814,51
815,53
816,50
817,53
818,51
819,52
820,52
821,51
822,53
823,51
824,53
825,51
826,53
827,53
828,52
829,54
830,52
831,54
832,52
833,54
834,53
835,53
836,54
837,52
838,54
839,52
840,53
841,52
842,52
843,53
844,51
845,53
846,51
847,52
848,52
849,51
850,52
851,51
852,53
853,51
854,52
855,52
856,51
857,53
858,51
859,53
860,51
861,53
862,52
863,52
864,53
865,52
866,54
867,52
868,53
869,53
870,53
871,53
872,52
873,54
874,52
875,53
876,52
877,52
878,53
879,51
880,53
881,51
882,53
883,52
884,52
885,52
886,51
887,53
888,51
889,52
890,51
891,52
892,52
893,51
894,53
895,51
896,53
897,52
898,52
899,53
900,52
901,53
902,52
903,53
904,52
905,53
906,53
907,52
908,54
909,52
910,53
911,52
912,53
913,53
914,52
915,53
916,51
917,53
918,52
919,52
920,52
921,51
922,53
923,51
924,53
925,51
926,52
927,52
928,51
929,53
930,51
931,53
932,52
933,52
934,52
935,52
936,53
937,52
938,53
939,52
940,53
941,53
942,52
943,54
944,52
945,53
946,52
947,53
948,53
949,52
950,53
951,52
952,53
953,52
954,52
955,52
956,52
957,53
958,51
959,53
960,51
961,52
962,52
963,51
964,53
965,51
966,53
967,51
968,52
969,52
970,52
971,53
972,51
973,53
974,52
975,53
976,53
977,52
978,53
979,52
980,53
981,52
982,53
983,53
984,52
985,53
986,52
987,53
988,52
989,53
990,52
991,52
992,53
993,51
994,53
995,52
996,52
997,52
998,52
999,53
1000,51
1001,53
1002,51
1003,52
1004,52
1005,52
1006,53
1007,51
1008,53
1009,52
1010,53
1011,52
1012,52
1013,53
1014,52
1015,53
1016,52
1017,53
1018,53
1019,52
1020,53
1021,52
1022,53
1023,52
1024,53
1025,52
1026,52
1027,53
1028,52
1029,53
1030,52
1031,52
1032,52
1033,52
1034,53
1035,51
1036,53
1037,51
1038,52
1039,52
1040,52
1041,53
1042,51
1043,53
1044,52
1045,52
1046,52
1047,52
1048,53
1049,52
1050,53
1051,52
1052,53
1053,52
1054,52
1055,53
1056,52
1057,53
1058,52
1059,53
1060,52
1061,52
1062,53
1063,52
1064,53
1065,52
1066,53
1067,52
1068,52
1069,53
1070,51
1071,53
1072,51
1073,52
1074,52
1075,52
1076,52
1077,51
1078,53
1079,52
1080,52
